0,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631
28,0.749,0.745,0.728,0.7039,0.6825,0.661,0.631,0.5176,0.5316,0.549,0.5667,0.5843,0.612,0.631
96,1.06,1.043,0.956,0.886,0.7982,0.7105,0.631,0.251,0.298,0.35,0.421,0.482,0.535,0.631
124,1.0965,1.0755,0.9913,0.9,0.8264,0.7351,0.631,0.2369,0.286,0.3457,0.4193,0.4965,0.5386,0.631
127,1.17,1.157,1.114,0.973,0.877,0.765,0.631,0.14,0.193,0.263,0.359,0.442,0.543,0.631
