0,2
50,10
100,15
150,34
200,42
250,50
300,62
350,63
400,79
450,96
500,104
550,112
600,120
650,126
700,140
750,152
800,168
850,176
900,184
950,200
1000,204
1050,208
1100,224
1150,236
1200,242
